No.,Time,Source,Destination,Protocol,Length,Info
134110,4747.074359,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=2190 Ack=16080 Win=16 Len=11"
134278,4778.24242,192.168.50.133,34.158.0.131,TCP,702,"55697  >  4070 [PSH, ACK] Seq=16080 Ack=2201 Win=1024 Len=648"
134279,4778.267676,34.158.0.131,192.168.50.133,TCP,109,"4070  >  55697 [PSH, ACK] Seq=2201 Ack=16728 Win=16 Len=55"
138692,4838.367692,192.168.50.133,34.158.0.131,TCP,65,"55697  >  4070 [PSH, ACK] Seq=16728 Ack=2256 Win=1023 Len=11"
138693,4838.392507,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=2256 Ack=16739 Win=16 Len=11"
138869,4867.088667,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=2267 Ack=16739 Win=16 Len=11"
139180,4927.177909,192.168.50.133,34.158.0.131,TCP,65,"55697  >  4070 [PSH, ACK] Seq=16739 Ack=2278 Win=1023 Len=11"
139181,4927.202542,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=2278 Ack=16750 Win=16 Len=11"
139595,4987.102325,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=2289 Ack=16750 Win=16 Len=11"
139918,5037.048624,192.168.50.133,34.158.0.131,TCP,702,"55697  >  4070 [PSH, ACK] Seq=16750 Ack=2300 Win=1023 Len=648"
139919,5037.074114,34.158.0.131,192.168.50.133,TCP,109,"4070  >  55697 [PSH, ACK] Seq=2300 Ack=17398 Win=16 Len=55"
143851,5097.164535,192.168.50.133,34.158.0.131,TCP,65,"55697  >  4070 [PSH, ACK] Seq=17398 Ack=2355 Win=1023 Len=11"
143852,5097.189374,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=2355 Ack=17409 Win=16 Len=11"
143893,5107.115188,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=2366 Ack=17409 Win=16 Len=11"
144305,5167.179991,192.168.50.133,34.158.0.131,TCP,65,"55697  >  4070 [PSH, ACK] Seq=17409 Ack=2377 Win=1023 Len=11"
144306,5167.204348,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=2377 Ack=17420 Win=16 Len=11"
144673,5227.128424,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=2388 Ack=17420 Win=16 Len=11"
144738,5243.556818,192.168.50.133,34.158.0.131,TCP,702,"55697  >  4070 [PSH, ACK] Seq=17420 Ack=2399 Win=1023 Len=648"
144740,5243.581701,34.158.0.131,192.168.50.133,TCP,109,"4070  >  55697 [PSH, ACK] Seq=2399 Ack=18068 Win=16 Len=55"
150055,5303.647021,192.168.50.133,34.158.0.131,TCP,65,"55697  >  4070 [PSH, ACK] Seq=18068 Ack=2454 Win=1023 Len=11"
150056,5303.673715,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=2454 Ack=18079 Win=16 Len=11"
150327,5347.142944,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=2465 Ack=18079 Win=16 Len=11"
150641,5407.214922,192.168.50.133,34.158.0.131,TCP,65,"55697  >  4070 [PSH, ACK] Seq=18079 Ack=2476 Win=1023 Len=11"
150642,5407.239454,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=2476 Ack=18090 Win=16 Len=11"
150847,5445.450851,192.168.50.133,34.158.0.131,TCP,702,"55697  >  4070 [PSH, ACK] Seq=18090 Ack=2487 Win=1023 Len=648"
150849,5445.4765,34.158.0.131,192.168.50.133,TCP,109,"4070  >  55697 [PSH, ACK] Seq=2487 Ack=18738 Win=16 Len=55"
154427,5467.159321,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=2542 Ack=18738 Win=16 Len=11"
154724,5527.212513,192.168.50.133,34.158.0.131,TCP,65,"55697  >  4070 [PSH, ACK] Seq=18738 Ack=2553 Win=1022 Len=11"
154725,5527.240221,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=2553 Ack=18749 Win=16 Len=11"
155117,5587.172472,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=2564 Ack=18749 Win=16 Len=11"
155200,5602.75595,192.168.50.133,34.158.0.131,TCP,702,"55697  >  4070 [PSH, ACK] Seq=18749 Ack=2575 Win=1022 Len=648"
155202,5602.781765,34.158.0.131,192.168.50.133,TCP,109,"4070  >  55697 [PSH, ACK] Seq=2575 Ack=19397 Win=16 Len=55"
161051,5662.8458,192.168.50.133,34.158.0.131,TCP,65,"55697  >  4070 [PSH, ACK] Seq=19397 Ack=2630 Win=1022 Len=11"
161052,5662.870558,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=2630 Ack=19408 Win=16 Len=11"
161289,5707.186343,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=2641 Ack=19408 Win=16 Len=11"
161611,5767.236948,192.168.50.133,34.158.0.131,TCP,65,"55697  >  4070 [PSH, ACK] Seq=19408 Ack=2652 Win=1022 Len=11"
161612,5767.262098,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=2652 Ack=19419 Win=16 Len=11"
161919,5827.199612,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=2663 Ack=19419 Win=16 Len=11"
162017,5854.025929,192.168.50.133,34.158.0.131,TCP,702,"55697  >  4070 [PSH, ACK] Seq=19419 Ack=2674 Win=1022 Len=648"
162019,5854.053207,34.158.0.131,192.168.50.133,TCP,109,"4070  >  55697 [PSH, ACK] Seq=2674 Ack=20067 Win=16 Len=55"
167407,5914.106349,192.168.50.133,34.158.0.131,TCP,65,"55697  >  4070 [PSH, ACK] Seq=20067 Ack=2729 Win=1022 Len=11"
167408,5914.132945,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=2729 Ack=20078 Win=16 Len=11"
167723,5947.212923,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=2740 Ack=20078 Win=16 Len=11"
168421,6007.298463,192.168.50.133,34.158.0.131,TCP,65,"55697  >  4070 [PSH, ACK] Seq=20078 Ack=2751 Win=1022 Len=11"
168422,6007.322684,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=2751 Ack=20089 Win=16 Len=11"
168782,6038.48996,192.168.50.133,34.158.0.131,TCP,702,"55697  >  4070 [PSH, ACK] Seq=20089 Ack=2762 Win=1026 Len=648"
168783,6038.515156,34.158.0.131,192.168.50.133,TCP,109,"4070  >  55697 [PSH, ACK] Seq=2762 Ack=20737 Win=16 Len=55"
173937,6067.227022,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=2817 Ack=20737 Win=16 Len=11"
174224,6127.30911,192.168.50.133,34.158.0.131,TCP,65,"55697  >  4070 [PSH, ACK] Seq=20737 Ack=2828 Win=1026 Len=11"
174227,6127.333451,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=2828 Ack=20748 Win=16 Len=11"
174856,6187.239936,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=2839 Ack=20748 Win=16 Len=11"
175288,6247.299198,192.168.50.133,34.158.0.131,TCP,65,"55697  >  4070 [PSH, ACK] Seq=20748 Ack=2850 Win=1026 Len=11"
175289,6247.323771,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=2850 Ack=20759 Win=16 Len=11"
175418,6277.810334,192.168.50.133,34.158.0.131,TCP,702,"55697  >  4070 [PSH, ACK] Seq=20759 Ack=2861 Win=1026 Len=648"
175421,6277.835297,34.158.0.131,192.168.50.133,TCP,109,"4070  >  55697 [PSH, ACK] Seq=2861 Ack=21407 Win=16 Len=55"
178133,6307.254164,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=2916 Ack=21407 Win=16 Len=11"
178529,6367.311741,192.168.50.133,34.158.0.131,TCP,65,"55697  >  4070 [PSH, ACK] Seq=21407 Ack=2927 Win=1026 Len=11"
178530,6367.336096,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=2927 Ack=21418 Win=16 Len=11"
178800,6427.267111,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=2938 Ack=21418 Win=16 Len=11"
179198,6487.370888,192.168.50.133,34.158.0.131,TCP,65,"55697  >  4070 [PSH, ACK] Seq=21418 Ack=2949 Win=1026 Len=11"
179200,6487.395371,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=2949 Ack=21429 Win=16 Len=11"
179443,6518.724277,192.168.50.133,34.158.0.131,TCP,702,"55697  >  4070 [PSH, ACK] Seq=21429 Ack=2960 Win=1026 Len=648"
179446,6518.749122,34.158.0.131,192.168.50.133,TCP,109,"4070  >  55697 [PSH, ACK] Seq=2960 Ack=22077 Win=16 Len=55"
184570,6547.28055,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=3015 Ack=22077 Win=16 Len=11"
184915,6607.33648,192.168.50.133,34.158.0.131,TCP,65,"55697  >  4070 [PSH, ACK] Seq=22077 Ack=3026 Win=1025 Len=11"
184916,6607.36289,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=3026 Ack=22088 Win=16 Len=11"
185241,6667.29472,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=3037 Ack=22088 Win=16 Len=11"
185532,6727.348602,192.168.50.133,34.158.0.131,TCP,65,"55697  >  4070 [PSH, ACK] Seq=22088 Ack=3048 Win=1025 Len=11"
185533,6727.37291,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=3048 Ack=22099 Win=16 Len=11"
