No.,Time,Source,Destination,Protocol,Length,Info,lengths
88430,2766.987436,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=10008 Ack=1343 Win=1022 Len=0,0
88716,2826.854345,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=1343 Ack=10008 Win=16 Len=11",11
88717,2826.904816,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=10008 Ack=1354 Win=1022 Len=0,0
89112,2886.919306,192.168.50.133,34.158.0.131,TCP,65,"55697  >  4070 [PSH, ACK] Seq=10008 Ack=1354 Win=1022 Len=11",11
89113,2886.944161,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=1354 Ack=10019 Win=16 Len=11",11
89114,2886.99589,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=10019 Ack=1365 Win=1022 Len=0,0
89156,2896.763301,192.168.50.133,34.158.0.131,TCP,734,"55697  >  4070 [PSH, ACK] Seq=10019 Ack=1365 Win=1022 Len=680",680
89158,2896.788564,34.158.0.131,192.168.50.133,TCP,109,"4070  >  55697 [PSH, ACK] Seq=1365 Ack=10699 Win=16 Len=55",55
89160,2896.839102,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=10699 Ack=1420 Win=1022 Len=0,0
92476,2946.868449,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=1420 Ack=10699 Win=16 Len=11",11
92477,2946.920315,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=10699 Ack=1431 Win=1022 Len=0,0
92771,3006.944832,192.168.50.133,34.158.0.131,TCP,65,"55697  >  4070 [PSH, ACK] Seq=10699 Ack=1431 Win=1022 Len=11",11
92772,3006.969277,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=1431 Ack=10710 Win=16 Len=11[Malformed Packet]",11
92773,3007.02244,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=10710 Ack=1442 Win=1022 Len=0,0
93064,3066.881577,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=1442 Ack=10710 Win=16 Len=11",11
93065,3066.935577,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=10710 Ack=1453 Win=1022 Len=0,0
93322,3126.944024,192.168.50.133,34.158.0.131,TCP,65,"55697  >  4070 [PSH, ACK] Seq=10710 Ack=1453 Win=1022 Len=11",11
93323,3126.968437,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=1453 Ack=10721 Win=16 Len=11",11
93324,3127.021725,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=10721 Ack=1464 Win=1022 Len=0,0
93371,3140.992005,192.168.50.133,34.158.0.131,TCP,702,"55697  >  4070 [PSH, ACK] Seq=10721 Ack=1464 Win=1022 Len=648",648
93372,3141.017464,34.158.0.131,192.168.50.133,TCP,109,"4070  >  55697 [PSH, ACK] Seq=1464 Ack=11369 Win=16 Len=55",55
93374,3141.067856,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=11369 Ack=1519 Win=1026 Len=0,0
96942,3186.897777,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=1519 Ack=11369 Win=16 Len=11",11
96951,3186.946352,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=11369 Ack=1530 Win=1026 Len=0,0
97315,3246.975883,192.168.50.133,34.158.0.131,TCP,65,"55697  >  4070 [PSH, ACK] Seq=11369 Ack=1530 Win=1026 Len=11",11
97316,3247.000237,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=1530 Ack=11380 Win=16 Len=11",11
97317,3247.053617,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=11380 Ack=1541 Win=1026 Len=0,0
97599,3306.911846,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=1541 Ack=11380 Win=16 Len=11",11
97600,3306.959412,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=11380 Ack=1552 Win=1026 Len=0,0
97949,3367.001631,192.168.50.133,34.158.0.131,TCP,65,"55697  >  4070 [PSH, ACK] Seq=11380 Ack=1552 Win=1026 Len=11",11
97950,3367.025879,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=1552 Ack=11391 Win=16 Len=11",11
97951,3367.079038,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=11391 Ack=1563 Win=1026 Len=0,0
98006,3385.865417,192.168.50.133,34.158.0.131,TCP,734,"55697  >  4070 [PSH, ACK] Seq=11391 Ack=1563 Win=1026 Len=680",680
98007,3385.890901,34.158.0.131,192.168.50.133,TCP,109,"4070  >  55697 [PSH, ACK] Seq=1563 Ack=12071 Win=16 Len=55",55
98009,3385.939198,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=12071 Ack=1618 Win=1026 Len=0,0
103626,3426.925222,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=1618 Ack=12071 Win=16 Len=11",11
103627,3426.976448,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=12071 Ack=1629 Win=1026 Len=0,0
104033,3487.013188,192.168.50.133,34.158.0.131,TCP,65,"55697  >  4070 [PSH, ACK] Seq=12071 Ack=1629 Win=1026 Len=11",11
104034,3487.037477,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=1629 Ack=12082 Win=16 Len=11",11
104035,3487.089883,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=12082 Ack=1640 Win=1026 Len=0,0
104261,3520.638149,192.168.50.133,34.158.0.131,TCP,702,"55697  >  4070 [PSH, ACK] Seq=12082 Ack=1640 Win=1026 Len=648",648
104262,3520.663608,34.158.0.131,192.168.50.133,TCP,109,"4070  >  55697 [PSH, ACK] Seq=1640 Ack=12730 Win=16 Len=55",55
104264,3520.712189,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=12730 Ack=1695 Win=1026 Len=0,0
108547,3546.938425,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=1695 Ack=12730 Win=16 Len=11",11
108549,3546.989651,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=12730 Ack=1706 Win=1026 Len=0,0
108859,3606.995066,192.168.50.133,34.158.0.131,TCP,65,"55697  >  4070 [PSH, ACK] Seq=12730 Ack=1706 Win=1026 Len=11",11
108861,3607.019777,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=1706 Ack=12741 Win=16 Len=11",11
108863,3607.072283,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=12741 Ack=1717 Win=1026 Len=0,0
109155,3666.952214,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=1717 Ack=12741 Win=16 Len=11",11
109156,3666.992668,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=12741 Ack=1728 Win=1026 Len=0,0
109169,3669.615298,192.168.50.133,34.158.0.131,TCP,702,"55697  >  4070 [PSH, ACK] Seq=12741 Ack=1728 Win=1026 Len=648",648
109171,3669.640135,34.158.0.131,192.168.50.133,TCP,109,"4070  >  55697 [PSH, ACK] Seq=1728 Ack=13389 Win=16 Len=55",55
109173,3669.688746,192.168.50.133,34.158.0.131,TCP,54,55697  >  4070 [ACK] Seq=13389 Ack=1783 Win=1025 Len=0,0
114186,3729.704215,192.168.50.133,34.158.0.131,TCP,65,"55697  >  4070 [PSH, ACK] Seq=13389 Ack=1783 Win=1025 Len=11",11
