"No.","Time","Source","Destination","Protocol","Length","Info"
"363549","4627.565035","34.158.0.131","192.168.50.133","TCP","65","4070  >  55697 [PSH, ACK] Seq=2377 Ack=17509 Win=16 Len=11"
"363566","4627.618220","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=17509 Ack=2388 Win=1023 Len=0"
"369739","4677.519965","34.158.0.131","192.168.50.133","TCP","65","4070  >  55697 [PSH, ACK] Seq=2388 Ack=17509 Win=16 Len=11"
"369743","4677.573181","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=17509 Ack=2399 Win=1023 Len=0"
"378500","4737.626683","192.168.50.133","34.158.0.131","TCP","65","55697  >  4070 [PSH, ACK] Seq=17509 Ack=2399 Win=1023 Len=11"
"378503","4737.651507","34.158.0.131","192.168.50.133","TCP","65","4070  >  55697 [PSH, ACK] Seq=2399 Ack=17520 Win=16 Len=11"
"378504","4737.704064","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=17520 Ack=2410 Win=1023 Len=0"
"379149","4779.018534","192.168.50.133","34.158.0.131","TCP","620","55697  >  4070 [PSH, ACK] Seq=17520 Ack=2410 Win=1023 Len=566"
"379151","4779.044123","34.158.0.131","192.168.50.133","TCP","109","4070  >  55697 [PSH, ACK] Seq=2410 Ack=18086 Win=16 Len=55"
"379154","4779.084647","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=18086 Ack=2465 Win=1023 Len=0"
"379400","4797.525983","34.158.0.131","192.168.50.133","TCP","65","4070  >  55697 [PSH, ACK] Seq=2465 Ack=18086 Win=16 Len=11"
"379401","4797.570806","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=18086 Ack=2476 Win=1022 Len=0"
"380535","4857.627441","192.168.50.133","34.158.0.131","TCP","65","55697  >  4070 [PSH, ACK] Seq=18086 Ack=2476 Win=1022 Len=11"
"380536","4857.652273","34.158.0.131","192.168.50.133","TCP","65","4070  >  55697 [PSH, ACK] Seq=2476 Ack=18097 Win=16 Len=11"
"380537","4857.704062","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=18097 Ack=2487 Win=1022 Len=0"
"383352","4917.539408","34.158.0.131","192.168.50.133","TCP","65","4070  >  55697 [PSH, ACK] Seq=2487 Ack=18097 Win=16 Len=11"
"383356","4917.592007","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=18097 Ack=2498 Win=1022 Len=0"
"385041","4957.871832","192.168.50.133","34.158.0.131","TCP","620","55697  >  4070 [PSH, ACK] Seq=18097 Ack=2498 Win=1022 Len=566"
"385043","4957.897093","34.158.0.131","192.168.50.133","TCP","109","4070  >  55697 [PSH, ACK] Seq=2498 Ack=18663 Win=16 Len=55"
"385046","4957.937804","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=18663 Ack=2553 Win=1022 Len=0"
"388272","5018.003299","192.168.50.133","34.158.0.131","TCP","65","55697  >  4070 [PSH, ACK] Seq=18663 Ack=2553 Win=1022 Len=11"
